# N1000A DCA-X Waveform Capture
# Timestamp: 2025-08-01 10:07:06
# Instrument: Keysight Technologies,N1000A,MY64350173,A.07.60.209
# Channel: CHAN1A
# X Increment: 1e-12
# X Origin: 0
# Y Increment: 0.001
# Y Origin: 0
# Y Reference: 0
# Number of Points: 1000
#
Time(s),Voltage(V)
4.900000000000e-11,-2.948703e-02
5.000000000000e-11,-1.357153e-01
5.100000000000e-11,1.301400e-01
5.200000000000e-11,4.122582e-02
5.300000000000e-11,-5.964665e-02
5.400000000000e-11,-5.198048e-02
5.500000000000e-11,-6.474861e-02
5.600000000000e-11,8.331001e-02
5.700000000000e-11,-3.509506e-02
5.800000000000e-11,-2.525657e-03
5.900000000000e-11,5.340208e-02
6.000000000000e-11,-4.851567e-02
6.100000000000e-11,5.648881e-02
6.200000000000e-11,-1.767404e-01
6.300000000000e-11,7.711849e-02
6.400000000000e-11,5.160450e-02
6.500000000000e-11,1.680316e-01
6.600000000000e-11,1.494188e-01
6.700000000000e-11,4.250136e-03
6.800000000000e-11,-9.835230e-03
6.900000000000e-11,-8.369817e-03
7.000000000000e-11,-1.398506e-01
7.100000000000e-11,-5.858015e-02
7.200000000000e-11,1.613649e-01
7.300000000000e-11,4.381576e-02
7.400000000000e-11,7.819483e-03
7.500000000000e-11,2.680654e-02
7.600000000000e-11,-9.810836e-02
7.700000000000e-11,1.865041e-02
7.800000000000e-11,5.372665e-02
7.900000000000e-11,-2.282855e-02
8.000000000000e-11,1.747395e-01
8.100000000000e-11,-5.920002e-02
8.200000000000e-11,8.638161e-02
8.300000000000e-11,-1.116056e-01
8.400000000000e-11,6.766899e-02
8.500000000000e-11,1.790261e-01
8.600000000000e-11,-1.090262e-01
8.700000000000e-11,-1.101178e-01
8.800000000000e-11,4.497289e-02
8.900000000000e-11,-6.041247e-02
9.000000000000e-11,1.140595e-01
9.100000000000e-11,1.617062e-01
9.200000000000e-11,-2.678879e-01
9.300000000000e-11,1.436407e-01
9.400000000000e-11,4.644769e-02
9.500000000000e-11,-6.334801e-02
9.600000000000e-11,2.550222e-01
9.700000000000e-11,3.721825e-02
9.800000000000e-11,9.094935e-02
9.900000000000e-11,-1.368846e-01
1.000000000000e-10,-6.070173e-02
1.010000000000e-10,1.093374e-01
1.020000000000e-10,-4.202296e-02
1.030000000000e-10,9.953181e-03
1.040000000000e-10,-1.410182e-01
1.050000000000e-10,1.254541e-01
1.060000000000e-10,4.463223e-02
1.070000000000e-10,-7.936728e-02
1.080000000000e-10,6.617145e-02
1.090000000000e-10,3.882671e-02
1.100000000000e-10,8.209196e-02
1.110000000000e-10,-9.843547e-02
1.120000000000e-10,8.334403e-02
1.130000000000e-10,3.113277e-01
1.140000000000e-10,-1.547694e-01
1.150000000000e-10,7.824945e-02
1.160000000000e-10,2.054591e-02
1.170000000000e-10,3.927796e-02
1.180000000000e-10,-3.262780e-02
1.190000000000e-10,5.049938e-02
1.200000000000e-10,1.856893e-01
1.210000000000e-10,-8.691906e-02
1.220000000000e-10,-1.193311e-01
1.230000000000e-10,-1.428524e-02
1.240000000000e-10,-7.865766e-03
1.250000000000e-10,9.177638e-02
1.260000000000e-10,1.051717e-01
1.270000000000e-10,1.290373e-01
1.280000000000e-10,2.133688e-02
1.290000000000e-10,-1.732139e-02
1.300000000000e-10,1.879617e-02
1.310000000000e-10,1.778686e-01
1.320000000000e-10,-5.269713e-02
1.330000000000e-10,1.302139e-02
1.340000000000e-10,-1.104650e-01
1.350000000000e-10,8.155235e-02
1.360000000000e-10,7.367570e-02
1.370000000000e-10,6.924657e-02
1.380000000000e-10,1.826248e-01
1.390000000000e-10,1.073124e-01
1.400000000000e-10,1.221443e-01
1.410000000000e-10,-1.016218e-01
1.420000000000e-10,9.570492e-02
1.430000000000e-10,6.994379e-03
1.440000000000e-10,-9.432633e-02
1.450000000000e-10,-3.538541e-02
1.460000000000e-10,1.011742e-01
1.470000000000e-10,1.337492e-02
1.480000000000e-10,1.166271e-01
1.490000000000e-10,-2.029313e-03
1.500000000000e-10,-5.788993e-02
1.510000000000e-10,2.176888e-01
1.520000000000e-10,-1.158633e-01
1.530000000000e-10,5.624105e-02
1.540000000000e-10,5.539506e-02
1.550000000000e-10,2.659790e-01
1.560000000000e-10,-1.544322e-02
1.570000000000e-10,1.659554e-03
1.580000000000e-10,-7.636459e-02
1.590000000000e-10,-2.656114e-02
1.600000000000e-10,6.662003e-02
1.610000000000e-10,-2.078188e-01
1.620000000000e-10,2.040513e-01
1.630000000000e-10,-4.227410e-03
1.640000000000e-10,8.349868e-02
1.650000000000e-10,2.014900e-01
1.660000000000e-10,-2.694636e-02
1.670000000000e-10,3.130879e-03
1.680000000000e-10,1.659323e-01
1.690000000000e-10,-1.736731e-02
1.700000000000e-10,-1.023797e-01
1.710000000000e-10,6.781431e-03
1.720000000000e-10,1.778330e-01
1.730000000000e-10,-8.011948e-02
1.740000000000e-10,-1.022100e-02
1.750000000000e-10,-1.255141e-02
1.760000000000e-10,-6.051584e-02
1.770000000000e-10,-1.070901e-01
1.780000000000e-10,9.439985e-03
1.790000000000e-10,-2.220709e-01
1.800000000000e-10,5.607444e-02
1.810000000000e-10,-6.001802e-02
1.820000000000e-10,1.114770e-01
1.830000000000e-10,-2.215764e-01
1.840000000000e-10,1.288360e-01
1.850000000000e-10,-5.617337e-02
1.860000000000e-10,2.682384e-01
1.870000000000e-10,-2.508137e-02
1.880000000000e-10,-1.826920e-01
1.890000000000e-10,-1.066556e-01
1.900000000000e-10,-1.945085e-02
1.910000000000e-10,-1.946531e-02
1.920000000000e-10,-2.535005e-02
1.930000000000e-10,-2.256341e-02
1.940000000000e-10,1.283836e-01
1.950000000000e-10,3.472617e-02
1.960000000000e-10,1.259288e-01
1.970000000000e-10,-8.194766e-02
1.980000000000e-10,2.230135e-02
1.990000000000e-10,1.576267e-01
2.000000000000e-10,2.791332e-02
2.010000000000e-10,7.822995e-02
2.020000000000e-10,-5.584798e-02
2.030000000000e-10,-1.787047e-01
2.040000000000e-10,9.695888e-02
2.050000000000e-10,1.390824e-02
2.060000000000e-10,1.236255e-01
2.070000000000e-10,6.391466e-02
2.080000000000e-10,-1.865069e-01
2.090000000000e-10,2.493620e-03
2.100000000000e-10,-1.602712e-01
2.110000000000e-10,1.442524e-01
2.120000000000e-10,4.898888e-02
2.130000000000e-10,-5.954555e-02
2.140000000000e-10,-7.967287e-02
2.150000000000e-10,-4.800557e-02
2.160000000000e-10,2.217085e-01
2.170000000000e-10,4.320285e-03
2.180000000000e-10,2.818798e-02
2.190000000000e-10,-2.168552e-02
2.200000000000e-10,-1.144616e-01
2.210000000000e-10,2.880919e-02
2.220000000000e-10,1.496050e-01
2.230000000000e-10,2.072468e-01
2.240000000000e-10,-1.105019e-01
2.250000000000e-10,6.938250e-02
2.260000000000e-10,-3.152480e-02
2.270000000000e-10,3.570110e-02
2.280000000000e-10,5.745714e-02
2.290000000000e-10,1.989251e-01
2.300000000000e-10,-5.916778e-02
2.310000000000e-10,-8.552123e-02
2.320000000000e-10,1.803690e-02
2.330000000000e-10,-2.064924e-01
2.340000000000e-10,-2.582894e-02
2.350000000000e-10,-6.521156e-02
2.360000000000e-10,5.964110e-02
2.370000000000e-10,1.817239e-02
2.380000000000e-10,-6.725947e-02
2.390000000000e-10,1.766832e-01
2.400000000000e-10,1.996564e-01
2.410000000000e-10,-3.033745e-02
2.420000000000e-10,4.163296e-02
2.430000000000e-10,-8.492845e-02
2.440000000000e-10,-1.332462e-01
2.450000000000e-10,-7.373741e-03
2.460000000000e-10,1.973314e-01
2.470000000000e-10,4.084506e-03
2.480000000000e-10,4.043795e-02
2.490000000000e-10,1.090101e-01
2.500000000000e-10,-5.422337e-02
2.510000000000e-10,-1.358795e-01
2.520000000000e-10,-8.962085e-02
2.530000000000e-10,1.318654e-01
2.540000000000e-10,-1.166090e-02
2.550000000000e-10,1.252964e-01
2.560000000000e-10,-1.211743e-01
2.570000000000e-10,4.446010e-02
2.580000000000e-10,-2.474555e-02
2.590000000000e-10,2.003897e-02
2.600000000000e-10,7.232736e-02
2.610000000000e-10,-8.656535e-02
2.620000000000e-10,-1.851818e-01
2.630000000000e-10,-1.428194e-01
2.640000000000e-10,-3.856504e-02
2.650000000000e-10,1.290814e-01
2.660000000000e-10,-1.052219e-01
2.670000000000e-10,-1.126339e-01
2.680000000000e-10,-5.192910e-02
2.690000000000e-10,-5.876250e-02
2.700000000000e-10,3.054532e-02
2.710000000000e-10,2.755675e-01
2.720000000000e-10,-1.520317e-01
2.730000000000e-10,1.856062e-01
2.740000000000e-10,2.336220e-02
2.750000000000e-10,5.939669e-02
2.760000000000e-10,-1.606293e-01
2.770000000000e-10,8.659922e-02
2.780000000000e-10,-2.686948e-02
2.790000000000e-10,5.006674e-02
2.800000000000e-10,-3.134439e-02
2.810000000000e-10,1.064959e-01
2.820000000000e-10,-1.340468e-01
2.830000000000e-10,4.774799e-02
2.840000000000e-10,7.222442e-02
2.850000000000e-10,-4.336217e-03
2.860000000000e-10,-1.558336e-01
2.870000000000e-10,-1.115889e-01
2.880000000000e-10,-9.967478e-02
2.890000000000e-10,3.573542e-03
2.900000000000e-10,4.185069e-02
2.910000000000e-10,-4.610111e-02
2.920000000000e-10,-4.927282e-02
2.930000000000e-10,-7.478652e-02
2.940000000000e-10,-9.949604e-03
2.950000000000e-10,-6.423893e-02
2.960000000000e-10,-1.096830e-01
2.970000000000e-10,1.296051e-02
2.980000000000e-10,8.156124e-02
2.990000000000e-10,-1.592044e-02
3.000000000000e-10,-1.181542e-01
3.010000000000e-10,3.363313e-02
3.020000000000e-10,6.417039e-03
3.030000000000e-10,-8.258544e-02
3.040000000000e-10,6.707156e-02
3.050000000000e-10,1.079992e-01
3.060000000000e-10,3.203670e-02
3.070000000000e-10,-4.361208e-02
3.080000000000e-10,-1.181411e-01
3.090000000000e-10,3.713094e-02
3.100000000000e-10,3.630606e-02
3.110000000000e-10,-8.867291e-02
3.120000000000e-10,1.501943e-01
3.130000000000e-10,-1.440249e-02
3.140000000000e-10,6.521252e-02
3.150000000000e-10,5.588075e-02
3.160000000000e-10,-1.629635e-01
3.170000000000e-10,-9.377866e-03
3.180000000000e-10,2.023011e-02
3.190000000000e-10,1.610082e-02
3.200000000000e-10,1.824988e-01
3.210000000000e-10,1.763340e-02
3.220000000000e-10,-1.201668e-01
3.230000000000e-10,7.757275e-03
3.240000000000e-10,-4.907776e-03
3.250000000000e-10,-1.876665e-01
3.260000000000e-10,-6.135690e-02
3.270000000000e-10,-5.846479e-02
3.280000000000e-10,1.702251e-02
3.290000000000e-10,-9.900910e-02
3.300000000000e-10,2.571952e-03
3.310000000000e-10,6.194812e-02
3.320000000000e-10,1.338061e-01
3.330000000000e-10,-1.139390e-01
3.340000000000e-10,-1.188982e-01
3.350000000000e-10,-1.140540e-02
3.360000000000e-10,1.761664e-02
3.370000000000e-10,-2.747463e-01
3.380000000000e-10,1.473905e-01
3.390000000000e-10,1.457391e-01
3.400000000000e-10,-1.985945e-01
3.410000000000e-10,1.031348e-01
3.420000000000e-10,-9.696780e-02
3.430000000000e-10,-3.325915e-02
3.440000000000e-10,-5.106028e-02
3.450000000000e-10,6.236246e-02
3.460000000000e-10,-2.663633e-01
3.470000000000e-10,-8.940073e-02
3.480000000000e-10,-3.145778e-01
3.490000000000e-10,-3.709865e-02
3.500000000000e-10,-2.252197e-02
3.510000000000e-10,-5.004405e-04
3.520000000000e-10,-9.451928e-02
3.530000000000e-10,-8.156342e-02
3.540000000000e-10,4.871414e-02
3.550000000000e-10,3.068020e-02
3.560000000000e-10,3.060690e-02
3.570000000000e-10,-2.423681e-01
3.580000000000e-10,1.392604e-01
3.590000000000e-10,-1.845388e-02
3.600000000000e-10,5.322539e-02
3.610000000000e-10,-1.779864e-01
3.620000000000e-10,1.038779e-01
3.630000000000e-10,1.048698e-01
3.640000000000e-10,1.306466e-01
3.650000000000e-10,-4.458601e-02
3.660000000000e-10,8.343533e-02
3.670000000000e-10,-4.879972e-02
3.680000000000e-10,-4.417139e-03
3.690000000000e-10,-1.160764e-01
3.700000000000e-10,2.959954e-03
3.710000000000e-10,-1.313942e-01
3.720000000000e-10,7.657261e-02
3.730000000000e-10,-1.301084e-01
3.740000000000e-10,1.185841e-01
3.750000000000e-10,-5.144291e-02
3.760000000000e-10,-1.152591e-02
3.770000000000e-10,8.881603e-02
3.780000000000e-10,7.439482e-02
3.790000000000e-10,-1.083782e-01
3.800000000000e-10,-1.013979e-02
3.810000000000e-10,-8.693273e-02
3.820000000000e-10,-4.722935e-05
3.830000000000e-10,8.321013e-02
3.840000000000e-10,-2.162023e-02
3.850000000000e-10,1.141599e-03
3.860000000000e-10,-5.174680e-02
3.870000000000e-10,5.436754e-02
3.880000000000e-10,-1.031944e-01
3.890000000000e-10,7.356979e-02
3.900000000000e-10,7.669518e-02
3.910000000000e-10,-1.135359e-01
3.920000000000e-10,1.387009e-01
3.930000000000e-10,-4.062954e-02
3.940000000000e-10,1.264055e-01
3.950000000000e-10,-2.867702e-01
3.960000000000e-10,1.086801e-01
3.970000000000e-10,7.492078e-02
3.980000000000e-10,6.510344e-03
3.990000000000e-10,-1.889685e-02
4.000000000000e-10,-4.627384e-02
4.010000000000e-10,1.439187e-01
4.020000000000e-10,8.009540e-02
4.030000000000e-10,-1.374704e-01
4.040000000000e-10,3.220848e-02
4.050000000000e-10,5.227809e-02
4.060000000000e-10,6.595420e-02
4.070000000000e-10,-6.747315e-02
4.080000000000e-10,-5.519034e-02
4.090000000000e-10,1.201044e-01
4.100000000000e-10,-2.856459e-01
4.110000000000e-10,3.483711e-02
4.120000000000e-10,7.090037e-02
4.130000000000e-10,7.100725e-02
4.140000000000e-10,1.293315e-01
4.150000000000e-10,-1.220270e-01
4.160000000000e-10,-1.063246e-01
4.170000000000e-10,-6.433663e-02
4.180000000000e-10,5.800945e-02
4.190000000000e-10,2.849941e-02
4.200000000000e-10,5.310798e-02
4.210000000000e-10,-1.584222e-01
4.220000000000e-10,8.520027e-02
4.230000000000e-10,8.562391e-02
4.240000000000e-10,-3.029722e-02
4.250000000000e-10,-6.918908e-02
4.260000000000e-10,-2.343401e-01
4.270000000000e-10,5.229680e-02
4.280000000000e-10,-2.094409e-01
4.290000000000e-10,-6.585419e-02
4.300000000000e-10,7.699645e-02
4.310000000000e-10,8.217047e-02
4.320000000000e-10,-6.483644e-02
4.330000000000e-10,1.658153e-01
4.340000000000e-10,1.335777e-01
4.350000000000e-10,-1.765181e-01
4.360000000000e-10,6.172095e-02
4.370000000000e-10,5.500596e-02
4.380000000000e-10,5.304365e-02
4.390000000000e-10,-1.249470e-02
4.400000000000e-10,-2.877022e-02
4.410000000000e-10,-7.926036e-02
4.420000000000e-10,8.217929e-02
4.430000000000e-10,-3.920476e-02
4.440000000000e-10,-5.510167e-04
4.450000000000e-10,8.074718e-02
4.460000000000e-10,4.138801e-02
4.470000000000e-10,-7.002435e-02
4.480000000000e-10,-8.917159e-02
4.490000000000e-10,1.660005e-02
4.500000000000e-10,3.987781e-05
4.510000000000e-10,1.013569e-01
4.520000000000e-10,-5.099717e-02
4.530000000000e-10,8.415375e-02
4.540000000000e-10,1.557480e-01
4.550000000000e-10,-9.623674e-02
4.560000000000e-10,2.305249e-01
4.570000000000e-10,2.130475e-02
4.580000000000e-10,6.714409e-02
4.590000000000e-10,7.284837e-02
4.600000000000e-10,1.084868e-02
4.610000000000e-10,-1.030495e-01
4.620000000000e-10,-2.300983e-01
4.630000000000e-10,1.826752e-02
4.640000000000e-10,5.571282e-02
4.650000000000e-10,1.849013e-02
4.660000000000e-10,-3.979117e-02
4.670000000000e-10,-1.313039e-01
4.680000000000e-10,-4.692970e-02
4.690000000000e-10,-3.468953e-02
4.700000000000e-10,7.114108e-02
4.710000000000e-10,-1.591079e-02
4.720000000000e-10,1.553346e-01
4.730000000000e-10,-7.094456e-02
4.740000000000e-10,-2.086314e-01
4.750000000000e-10,-7.181217e-02
4.760000000000e-10,8.611235e-02
4.770000000000e-10,-6.741202e-02
4.780000000000e-10,1.545838e-01
4.790000000000e-10,4.215663e-02
4.800000000000e-10,-6.250955e-02
4.810000000000e-10,-5.833458e-02
4.820000000000e-10,8.582965e-02
4.830000000000e-10,-1.479072e-01
4.840000000000e-10,-1.786280e-02
4.850000000000e-10,1.458904e-01
4.860000000000e-10,7.296131e-02
4.870000000000e-10,-4.337485e-02
4.880000000000e-10,-1.101025e-01
4.890000000000e-10,2.028297e-02
4.900000000000e-10,1.741598e-02
4.910000000000e-10,7.890245e-02
4.920000000000e-10,1.024750e-02
4.930000000000e-10,7.791199e-02
4.940000000000e-10,-5.022037e-02
4.950000000000e-10,-6.036181e-02
4.960000000000e-10,-4.067441e-02
4.970000000000e-10,-1.169367e-01
4.980000000000e-10,1.211627e-01
4.990000000000e-10,-2.928554e-02
5.000000000000e-10,9.837013e-02
5.010000000000e-10,4.252990e-02
5.020000000000e-10,1.780508e-01
5.030000000000e-10,-1.515945e-01
5.040000000000e-10,-1.205458e-01
5.050000000000e-10,3.633622e-02
5.060000000000e-10,-5.023745e-02
5.070000000000e-10,-1.630453e-02
5.080000000000e-10,-1.332495e-01
5.090000000000e-10,-1.200811e-01
5.100000000000e-10,-7.297711e-02
5.110000000000e-10,1.242511e-01
5.120000000000e-10,1.443198e-02
5.130000000000e-10,1.234803e-01
5.140000000000e-10,1.541661e-01
5.150000000000e-10,-1.732157e-01
5.160000000000e-10,7.576980e-03
5.170000000000e-10,-1.011871e-01
5.180000000000e-10,-1.339077e-01
5.190000000000e-10,5.413050e-02
5.200000000000e-10,1.147529e-01
5.210000000000e-10,-1.404760e-01
5.220000000000e-10,-1.942353e-03
5.230000000000e-10,-2.728874e-02
5.240000000000e-10,1.429100e-01
5.250000000000e-10,-6.917190e-02
5.260000000000e-10,-4.069916e-02
5.270000000000e-10,-8.818321e-02
5.280000000000e-10,-3.943625e-02
5.290000000000e-10,-6.274853e-02
5.300000000000e-10,-3.937973e-02
5.310000000000e-10,-4.683674e-02
5.320000000000e-10,1.355926e-01
5.330000000000e-10,3.694197e-02
5.340000000000e-10,-9.550834e-02
5.350000000000e-10,-3.106272e-01
5.360000000000e-10,-4.665551e-02
5.370000000000e-10,1.531042e-01
5.380000000000e-10,-1.458389e-01
5.390000000000e-10,-9.669136e-02
5.400000000000e-10,2.878698e-01
5.410000000000e-10,-2.354906e-02
5.420000000000e-10,7.569012e-02
5.430000000000e-10,9.722280e-03
5.440000000000e-10,-2.671361e-02
5.450000000000e-10,1.516654e-01
5.460000000000e-10,-1.872206e-02
5.470000000000e-10,-3.636926e-02
5.480000000000e-10,5.387902e-03
5.490000000000e-10,1.024791e-01
5.500000000000e-10,1.334247e-01
5.510000000000e-10,-2.767041e-02
5.520000000000e-10,-3.086913e-02
5.530000000000e-10,-1.806351e-01
5.540000000000e-10,-2.872090e-02
5.550000000000e-10,-4.747587e-02
5.560000000000e-10,-5.151909e-02
5.570000000000e-10,-8.189609e-02
5.580000000000e-10,2.094911e-02
5.590000000000e-10,1.642738e-02
5.600000000000e-10,2.787507e-01
5.610000000000e-10,-9.540497e-03
5.620000000000e-10,1.001886e-02
5.630000000000e-10,5.972979e-02
5.640000000000e-10,-5.327564e-02
5.650000000000e-10,-1.297594e-01
5.660000000000e-10,-7.037384e-02
5.670000000000e-10,9.149936e-02
5.680000000000e-10,6.430742e-02
5.690000000000e-10,1.651312e-01
5.700000000000e-10,1.064676e-02
5.710000000000e-10,6.980501e-02
5.720000000000e-10,-2.663528e-02
5.730000000000e-10,-2.601679e-02
5.740000000000e-10,8.388758e-02
5.750000000000e-10,-2.074667e-01
5.760000000000e-10,-5.012275e-02
5.770000000000e-10,-1.245135e-01
5.780000000000e-10,9.641331e-02
5.790000000000e-10,-1.184791e-02
5.800000000000e-10,-6.165036e-02
5.810000000000e-10,9.726548e-03
5.820000000000e-10,-7.257251e-03
5.830000000000e-10,1.053122e-01
5.840000000000e-10,7.346394e-02
5.850000000000e-10,1.623686e-01
5.860000000000e-10,-1.137219e-01
5.870000000000e-10,-1.034662e-01
5.880000000000e-10,-6.642606e-02
5.890000000000e-10,-3.410580e-02
5.900000000000e-10,-2.546239e-02
5.910000000000e-10,-3.164900e-02
5.920000000000e-10,-3.339516e-02
5.930000000000e-10,-1.577500e-02
5.940000000000e-10,3.931270e-02
5.950000000000e-10,8.960820e-02
5.960000000000e-10,4.627655e-02
5.970000000000e-10,-5.252541e-02
5.980000000000e-10,-1.365322e-01
5.990000000000e-10,-2.125264e-02
6.000000000000e-10,-5.534870e-02
6.010000000000e-10,2.093413e-02
6.020000000000e-10,3.675114e-02
6.030000000000e-10,2.044674e-01
6.040000000000e-10,-1.639599e-01
6.050000000000e-10,7.688152e-02
6.060000000000e-10,-7.273535e-02
6.070000000000e-10,-1.300437e-01
6.080000000000e-10,-6.226479e-02
6.090000000000e-10,3.808706e-02
6.100000000000e-10,-8.281441e-02
6.110000000000e-10,-1.100023e-01
6.120000000000e-10,-4.376234e-02
6.130000000000e-10,-1.134470e-01
6.140000000000e-10,-2.089859e-01
6.150000000000e-10,1.420225e-01
6.160000000000e-10,-9.005727e-03
6.170000000000e-10,2.330334e-02
6.180000000000e-10,9.440140e-02
6.190000000000e-10,-5.332346e-02
6.200000000000e-10,-6.755735e-02
6.210000000000e-10,-6.328072e-02
6.220000000000e-10,1.645747e-01
6.230000000000e-10,1.778970e-01
6.240000000000e-10,2.626690e-01
6.250000000000e-10,-1.149130e-01
6.260000000000e-10,8.951080e-02
6.270000000000e-10,7.110051e-02
6.280000000000e-10,-5.917528e-03
6.290000000000e-10,-1.105789e-02
6.300000000000e-10,-3.432354e-02
6.310000000000e-10,5.122963e-02
6.320000000000e-10,2.864559e-02
6.330000000000e-10,-2.103038e-02
6.340000000000e-10,-4.643154e-02
6.350000000000e-10,-3.336024e-02
6.360000000000e-10,5.406687e-02
6.370000000000e-10,7.981527e-02
6.380000000000e-10,1.146566e-01
6.390000000000e-10,-1.068061e-01
6.400000000000e-10,1.089960e-01
6.410000000000e-10,-9.843617e-02
6.420000000000e-10,1.145963e-03
6.430000000000e-10,-2.586357e-02
6.440000000000e-10,1.208128e-01
6.450000000000e-10,-1.847222e-01
6.460000000000e-10,8.303466e-02
6.470000000000e-10,-9.802682e-02
6.480000000000e-10,-3.724529e-02
6.490000000000e-10,1.392139e-01
6.500000000000e-10,-1.548557e-01
6.510000000000e-10,-3.236396e-02
6.520000000000e-10,-1.002991e-01
6.530000000000e-10,9.340430e-02
6.540000000000e-10,-7.550224e-02
6.550000000000e-10,3.754069e-02
6.560000000000e-10,3.805669e-03
6.570000000000e-10,-5.821983e-02
6.580000000000e-10,6.373012e-02
6.590000000000e-10,-5.045705e-03
6.600000000000e-10,2.129629e-03
6.610000000000e-10,-2.070707e-02
6.620000000000e-10,6.878920e-02
6.630000000000e-10,1.098798e-01
6.640000000000e-10,5.872446e-02
6.650000000000e-10,3.353694e-02
6.660000000000e-10,1.181608e-01
6.670000000000e-10,-6.781294e-02
6.680000000000e-10,-2.639201e-01
6.690000000000e-10,-2.366234e-02
6.700000000000e-10,8.902587e-02
6.710000000000e-10,-5.290711e-02
6.720000000000e-10,-1.501408e-01
6.730000000000e-10,1.634283e-02
6.740000000000e-10,8.046410e-02
6.750000000000e-10,-2.235768e-01
6.760000000000e-10,6.535908e-02
6.770000000000e-10,8.693750e-02
6.780000000000e-10,6.847473e-04
6.790000000000e-10,6.800038e-02
6.800000000000e-10,8.703614e-02
6.810000000000e-10,2.821116e-02
6.820000000000e-10,-1.008280e-01
6.830000000000e-10,-1.726263e-02
6.840000000000e-10,2.201990e-02
6.850000000000e-10,5.672786e-02
6.860000000000e-10,1.560577e-02
6.870000000000e-10,-4.622895e-02
6.880000000000e-10,1.505517e-01
6.890000000000e-10,1.175396e-02
6.900000000000e-10,2.631466e-02
6.910000000000e-10,-7.924899e-03
6.920000000000e-10,2.571803e-02
6.930000000000e-10,-6.149745e-02
6.940000000000e-10,1.496136e-01
6.950000000000e-10,-1.394562e-01
6.960000000000e-10,-1.170877e-01
6.970000000000e-10,1.735908e-03
6.980000000000e-10,7.436271e-02
6.990000000000e-10,6.063029e-02
7.000000000000e-10,-3.565035e-02
7.010000000000e-10,1.843229e-02
7.020000000000e-10,1.780324e-01
7.030000000000e-10,-9.173036e-02
7.040000000000e-10,-8.010000e-02
7.050000000000e-10,8.251925e-02
7.060000000000e-10,1.246558e-01
7.070000000000e-10,-2.690229e-02
7.080000000000e-10,7.659244e-03
7.090000000000e-10,1.297991e-01
7.100000000000e-10,-1.325939e-02
7.110000000000e-10,9.103597e-02
7.120000000000e-10,2.401594e-02
7.130000000000e-10,3.942956e-02
7.140000000000e-10,-7.353631e-03
7.150000000000e-10,1.254280e-01
7.160000000000e-10,1.822803e-01
7.170000000000e-10,-4.686263e-02
7.180000000000e-10,-1.721288e-01
7.190000000000e-10,2.433454e-02
7.200000000000e-10,-5.748132e-02
7.210000000000e-10,-2.694162e-02
7.220000000000e-10,7.055198e-02
7.230000000000e-10,4.505868e-02
7.240000000000e-10,1.871661e-03
7.250000000000e-10,-1.320045e-01
7.260000000000e-10,-1.336606e-02
7.270000000000e-10,-8.225557e-02
7.280000000000e-10,-5.546923e-03
7.290000000000e-10,6.665698e-02
7.300000000000e-10,-8.377479e-03
7.310000000000e-10,-9.989165e-02
7.320000000000e-10,1.664112e-01
7.330000000000e-10,-1.242765e-01
7.340000000000e-10,-1.571957e-01
7.350000000000e-10,-8.195759e-02
7.360000000000e-10,3.850146e-02
7.370000000000e-10,-3.184453e-02
7.380000000000e-10,-8.205710e-02
